CUI1,CUI2
C0684249,CN130015
C0684275,C0008533
C0684275,C0019069
C0684275,C0272325
C0684337,C0553580
C0684337,C0877849
C0685838,C3554105
C0685838,C3809105
C0685838,C4015307
C0685838,C4479656
C0685838,CN074242
C0686353,C2931907
C0686353,CN043626
C0687120,C1847013
C0687120,C1855681
C0687120,C1858392
C0687120,C1865872
C0687120,C1969092
C0687120,C3150796
C0687120,C3151188
C0687120,CN119610
C0699743,C0410180
C0699743,C0457133
C0699743,C1858118
C0699743,C2750786
C0699743,C2751052
C0699743,C2936406
C0699743,CN071817
C0699743,CN117976
C0699743,CN117977
C0699790,CN029768
C0751036,C0270911
C0751036,C0270912
C0751036,C0270913
C0751036,C1843164
C0751036,C1843247
C0751036,C1861669
C0751651,C0023264
C0751651,C0268237
C0751651,C0342779
C0751651,C1328349
C0751651,C1838979
C0751651,C1839022
C0751651,C1852372
C0751651,C1855008
C0751651,C1855034
C0751651,C3151897
C0751651,CN043632
C0751882,C0393929
C0751882,C0751885
C0751882,C1837091
C0751882,C1837122
C0751882,C1850792
C0751882,C1864233
C0751882,C3502630
C0752166,C1858054
C0752166,C1859564
C0752166,C1859565
C0752166,C1859566
C0752166,C1859567
C0752166,C1859568
C0752166,C1859569
C0752166,C1859570
C0752166,C2673873
C0752166,C2673874
C0752166,C2936862
C0752166,C2936863
C0752166,C2936864
C0752166,C3150127
C0752166,C3889474
C0752166,C3892039
C0795949,C4538784
C0795949,C4540266
C0795949,C4540270
C0795949,C4540274
C0795949,CN031715
C0796126,C3150315
C0878544,C0007193
C0878544,C0349788
C0878544,C0949658
C0878681,C1845167
C0878681,C1848336
C0919267,C0677886
C0919267,C1333992
C0949658,C1833236
C0949658,C1834460
C0949658,C1837471
C0949658,C1860752
C0949658,C1861065
C0949658,C1861862
C0949658,C1861863
C0949658,C1861864
C0949658,C2677491
C0949658,C2677506
C0949658,C2750459
C0949658,C2750467
C0949658,C2750472
C0949658,C3151204
C0949658,C3151264
C0949658,C3151265
C0949658,C3151266
C0949658,C3151267
C0949658,C3495498
C0949658,C3553442
C0949658,C4016270
C0969687,C0013080
C0969687,C0152095
C0969687,C0152096
C0969687,C0265479
C0969687,C0432412
C0969687,C0795807
C0969687,C0795849
C0969687,C2931575
C1112429,C2930924
C1142166,C2673193
C1142166,C2678477
C1142166,C2678478
C1142166,C2748541
C1142166,C2751083
C1142166,C2751088
C1142166,C2751089
C1142166,CN029323
C1260899,C0265265
C1260899,C1857719
C1260899,C2675511
C1260899,C2675512
C1260899,C2675859
C1260899,C2675860
C1260899,C2676137
C1260899,C2750080
C1260899,C2750081
C1261175,C1842687
C1261175,C1843504
C1261175,C1856974
C1261175,C1857762
C1261175,C1969084
C1261175,C2932714
C1263739,C0024776
C1263739,C0268575
C1263739,C0268579
C1263739,C0268583
C1263739,C0268595
C1263739,C0268600
C1263739,C0268601
C1263739,C1536500
C1263739,C1848561
C1328840,C1846545
C1328840,C1858968
C1328840,C1866119
C1328840,C1866120
C1328840,C1866121
C1328840,C2674723
C1333990,C0265325
C1333990,C1321489
C1333990,C1333991
C1333990,C1833477
C1333990,C1838333
C1333990,C1858380
C1333990,C1860896
C1333990,C2750471
C1333990,C2936783
C1449844,C1840390
C1449844,C1840391
C1449844,C3469605
C1449844,C3469606
C1458155,C0346153
C1458155,C0858252
C1510586,C0004352
C1510586,C0236792
C1510586,C1836271
C1510586,C1842632
C1510586,C1845336
C1510586,C1845539
C1510586,C1853755
C1510586,C1968924
C1510586,C1969710
C1510586,C1970807
C1510586,CN072151
C1512419,C1835044
C1512419,C1835047
C1512419,C1836892
C1512419,C1842643
C1512419,C2677089
C1512419,C2751295
C1512419,C3151417
C1512419,C3152204
C1512419,C3554574
C1567741,C1567742
C1567741,C1567743
C1567741,C1567744
C1568247,C1832845
C1568247,C1847089
C1568247,C1848604
C1568247,C1848638
C1568247,C1865865
C1568247,C1865885
C1568247,C2675458
C1706004,C0162359
C1706004,CN118829
C1708353,C1854336
C1708353,C1861848
C1708353,C1866552
C1708353,C1868633
C1708353,C3279992
C1720189,C1719788
C1720189,C1720416
C1720189,C1847839
C1720189,C1847843
C1720189,C1866039
C1720189,C2675211
C1720189,C2677843
C1827409,C1837156
C1827409,C1837157
C1832200,C0043459
C1832200,C0282525
C1832200,C0282527
C1832200,C1859228
C1832200,C3539168
C1832200,C3542026
C1832200,C3553929
C1832200,C3553936
C1832200,C3553937
C1832200,C3553940
C1832200,C3553947
C1832200,C3553948
C1832200,C3553951
C1832200,C3553959
C1832200,C3553960
C1832200,C3553999
C1832200,C3554000
C1832200,C3554001
C1832200,C3554002
C1832200,C3554004
C1832200,C3554055
C1832200,CN159238
C1832200,CN168921
C1833021,C0043207
C1833021,CN184629
C1833021,CN184630
C1833104,C1838655
C1833104,C1850096
C1833104,C1864623
C1836694,C4310791
C1836694,C4310808
C1838604,C1843244
C1842675,C2750729
C1847501,C1832855
C1847501,C1842534
C1847501,CN030711
C1848638,C1848604
C1850343,C3279843
C1850343,C4539839
C1850343,CN031748
C1850451,C0268281
C1850778,C0393697
C1850778,C1837308
C1850778,C1969656
C1850778,C2749942
C1850778,C2750887
C1850778,C2750888
C1850778,C2750894
C1850778,C2751604
C1850778,C2751729
C1851970,C3151443
C1851970,C3151445
C1851970,C3808802
C1853118,C1845987
C1853118,C1859966
C1853118,C2675526
C1853118,C2751288
C1853118,C2751630
C1853118,C3809031
C1853118,C4014954
C1853118,CN032247
C1855923,C3280153
C1855923,C3553637
C1855923,C3810354
C1855923,C4014958
C1855923,C4225201
C1855923,CN030519
C1859806,C2748571
C1860042,C2936791
C1860042,CN118849
C1864623,C1853564
C1868598,C1835980
C1868598,C1865044
C1868598,C1868599
C1868672,CN043612
C1868672,CN043613
C1868720,C1842562
C1868720,C1842563
C1868720,C1848213
C1868720,C2752071
C1955869,C0266463
C1955869,C1848201
C1959582,C0085261
C1959582,C0265326
C1959582,C1866398
C1959582,CN072330
C1970035,C1853833
C1970808,C0751037
C1997910,C1853942
C1997910,C1863844
C2079538,C1836485
C2079538,C1861678
C2348199,C1865018
C2348199,C1865019
C2348199,C1865020
C2675526,C2751630
C2678065,C1832370
C2678065,C1836050
C2678065,C1836155
C2678065,C1836607
C2678065,C1837317
C2678065,C2751831
C2697932,C2674876
C2697932,C2697933
C2697932,C3151087
C2697932,C3553762
C2700265,C1837203
C2700265,C1838447
C2700265,C1847722
C2700265,C1860339
C2700265,C2700405
C2700405,CN069052
C2700405,CN069053
C2713442,C0017097
C2713442,C0265325
C2713442,C2674616
C2750389,CN078000
C2750389,CN184128
C2750389,CN184129
C2919945,C1366911
C2919945,C1864040
C2919945,C1864041
C2919945,CN119550
C2931687,C1850808
C2931687,C1850889
C2931788,C1969906
C2931788,C2749604
C2931788,C2752036
